decision	category	slug	title	source	reason
SKIP	dfir	redmd-quick	REDmd - Quick	DFIR/REDmd - Quick Cheat sheet.md	dup of dfir/recmd.md
SKIP	dfir	volitility3	Volitility3	DFIR/Volitility3 .md	dup of dfir/volatility.md
SKIP				Digital_Forensics-Roadmap.md	non-sheet (meta/index/roadmap)
ADD	enumeration	anonymous-null-testing	Anonymous Null Testing	Enumeration/Anonymous  Null Testing.md	intermediate · 3 tools
ADD	enumeration	awesome-nmap-grep	Awesome NMAP grep	Enumeration/Awesome NMAP grep.md	intermediate · 1 tools
ADD	enumeration	cheatsheet-infrastructure-enumeration-tools-1	Cheatsheet - Infrastructure Enumeration Tools 1	Enumeration/Cheatsheet - Infrastructure Enumeration Tools 1.md	intermediate · 2 tools
ADD	enumeration	credential-hunting	Credential Hunting	Enumeration/Credential Hunting.md	intermediate · 0 tools
ADD	enumeration	2-4-cheatsheet-gitleaks	2.4 - Cheatsheet - Gitleaks	Enumeration/GitHub-Enum/2.4 - Cheatsheet - Gitleaks.md	intermediate · 1 tools
ADD	enumeration	2-5-cheatsheet-trufflehog	2.5 - Cheatsheet - TruffleHog	Enumeration/GitHub-Enum/2.5 - Cheatsheet - TruffleHog.md	intermediate · 2 tools
ADD	enumeration	lfi	LFI	Enumeration/LFI - Cheat Sheet.md	intermediate · 1 tools
ADD	enumeration	nse-guide	NSE Guide	Enumeration/NSE Guide.md	intermediate · 1 tools
ADD	enumeration	nikto-nuclei-web-scanner-cheatsheets	Nikto & Nuclei - Web Scanner Cheatsheets	Enumeration/Nikto & Nuclei - Web Scanner Cheatsheets.md	intermediate · 4 tools
SKIP	enumeration	nmap-cheatsheet-2026	Nmap Cheatsheet 2026	Enumeration/Nmap Cheatsheet 2026.md	dup of enumeration/nmap.md
SKIP	enumeration	rustscan	RustScan_	Enumeration/RustScan_Cheatsheet.md	dup of enumeration/rustscan.md
SKIP	enumeration	smbmap	SMBMAP	Enumeration/SMBMAP.md	dup of enumeration/smbmap.md
SKIP	enumeration	wpscan-1	WPScan 1	Enumeration/WPScan 1.md	dup of enumeration/wpscan.md
SKIP	enumeration	wpscan	WPScan	Enumeration/WPScan.md	dup of enumeration/wpscan.md
ADD	enumeration	windows-enumeration	Windows Enumeration	Enumeration/Windows Emumeration.md	intermediate · 1 tools
SKIP	enumeration	ffuf-cheat-sheet	ffuf_cheat_sheet	Enumeration/ffuf_cheat_sheet.md	dup of enumeration/ffuf.md
SKIP	enumeration	rustscan-usage	rustscan-usage	Enumeration/rustscan-usage.md	dup of enumeration/rustscan.md
SKIP	enumeration	rustscan	rustscan	Enumeration/rustscan.md	dup of enumeration/rustscan.md
SKIP				Exploitation/Implementation Roadmap Strategic Workflow for Windows Privilege Escalation.md	non-sheet (meta/index/roadmap)
ADD	exploitation	jailbreak-tty-upgrade	Jailbreak - TTY Upgrade	Exploitation/Jailbreak - TTY Upgrade.md	intermediate · 5 tools
ADD	exploitation	tty-and-escaping-restricted-env	TTY and Escaping Restricted Env	Exploitation/TTY and Escaping Restricted Env.md	intermediate · 4 tools
ADD	exploitation	sqlmap-cheat-sheet-sql-injection-testing-data-extraction	sqlmap Cheat Sheet - SQL Injection Testing & Data Extraction	Exploitation/sqlmap Cheat Sheet - SQL Injection Testing & Data Extraction.md	intermediate · 3 tools
SKIP	exploitation	sqlmap	sqlmap	Exploitation/sqlmap.md	dup of exploitation/sqlmap.md
ADD	git-workflow	git-complete-branch-vault-management-guide	Git — Complete Branch & Vault Management Guide	Git — Complete Branch & Vault Management Guide.md	intermediate · 0 tools
SKIP				Git/.md	non-sheet (meta/index/roadmap)
SKIP				Git/Branches Expanded.md	semantic dup of existing sheet
SKIP				Git/Branches.md	semantic dup of existing sheet
ADD	git-workflow	git-move-existing-edits-to-a-new-branch-railway-site	Git — Move Existing Edits to a New Branch (Railway Site)	Git/Git — Move Existing Edits to a New Branch (Railway Site).md	intermediate · 0 tools
SKIP				Git/Resetting.md	semantic dup of existing sheet
SKIP	git-workflow	git	git	Git/git-cheatsheet.md	dup of git-workflow/git.md
SKIP	cryptography	hashing	Hashing	HashingAndEncrypting/Hashing cheat sheet .md	dup of cryptography/hashing.md
ADD	linux-it	find-command	Find Command	Linux/Find Command.md	intermediate · 0 tools
ADD	linux-it	linux-file-directory-search	Linux File & Directory Search	Linux/Linux File & Directory Search Cheat Sheet.md	intermediate · 1 tools
ADD	linux-it	rdp	RDP	Linux/RDP CheatSheet.md	intermediate · 0 tools
ADD	tunneling-pivoting	pivoting-and-tunnelling	Pivoting and Tunnelling	Misc/Pivoting and Tunnelling .md	intermediate · 5 tools
ADD	tunneling-pivoting	ssh-portfwding-with-metasploit	SSH Portfwding with metasploit	Misc/SSH Portfwding with metasploit .md	intermediate · 2 tools
ADD	tunneling-pivoting	tunneling	Tunneling	Misc/Tunneling.md	intermediate · 5 tools
ADD	tools	smbshare	smbshare	Misc/smbshare.md	intermediate · 2 tools
ADD	tools	sponge	sponge	Misc/sponge-cheatsheet.md	intermediate · 0 tools
SKIP	linux-it	tmux	tmux	Misc/tmux.md	dup of linux-it/tmux.md
SKIP				Most-Used-Commands.md	non-sheet (meta/index/roadmap)
SKIP				PasswordAttacks/hashcat modes.md	semantic dup of existing sheet
SKIP	password-attacks	hashcat	hashcat	PasswordAttacks/hashcat-cheatsheet.md	dup of password-attacks/hashcat.md
SKIP				PasswordAttacks/john-cheatsheet.md	semantic dup of existing sheet
SKIP	privilege-escalation	linux-privesc	Linux PrivEsc	PrivEsc/Linux PrivEsc Cheat Sheet.md	dup of privilege-escalation/linux-privesc.md
SKIP	privilege-escalation	privesc-windows	PrivEsc - Windows	PrivEsc/PrivEsc - Windows.md	dup of privilege-escalation/windows-privesc.md
SKIP	privilege-escalation	windows-privesc	Windows PrivEsc	PrivEsc/Windows PrivEsc.md	dup of privilege-escalation/windows-privesc.md
SKIP	tools	bloodhound	BloodHound	Tools/BloodHound-Cheatsheet.md	dup of active-directory/bloodhound.md
SKIP				Tools/CMD-Powershell Cheat Sheet.md	semantic dup of existing sheet
SKIP				Tools/Certipy-ADCS-Cheatsheet.md	semantic dup of existing sheet
SKIP	tools	cobalt-strike	Cobalt-Strike	Tools/Cobalt-Strike-Cheatsheet.md	dup of tools/cobalt-strike.md
SKIP	tools	eyewitness	EyeWitness	Tools/EyeWitness-Cheatsheet.md	dup of tools/eyewitness.md
SKIP	tools	ffuf	Ffuf	Tools/Ffuf-Cheatsheet.md	dup of enumeration/ffuf.md
SKIP	tools	hashcat	Hashcat	Tools/Hashcat-Cheatsheet.md	dup of password-attacks/hashcat.md
SKIP	tools	impacket	Impacket	Tools/Impacket-Cheatsheet.md	dup of active-directory/impacket.md
SKIP	tools	impacket	Impacket	Tools/Impacket.md	dup of active-directory/impacket.md
ADD	tools	internet-archival-guide	Internet Archival Guide	Tools/Internet-Archival-Guide/Internet Archival Guide.md	intermediate · 0 tools
SKIP				Tools/Internet-Archival-Guide/scripts/README.md	non-sheet (meta/index/roadmap)
SKIP	tools	ligolo-ng	Ligolo-ng	Tools/Ligolo-ng Cheat sheet.md	dup of tunneling-pivoting/ligolo-ng.md
SKIP	tools	mimikatz	Mimikatz	Tools/Mimikatz-Cheatsheet.md	dup of active-directory/mimikatz.md
SKIP	tools	ntlm-kerberos-relay	NTLM-Kerberos-Relay	Tools/NTLM-Kerberos-Relay-Cheatsheet.md	dup of tools/ntlm-kerberos-relay.md
ADD	tools	netexec-spiderplus	NetExec - SpiderPlus	Tools/NetExec - SpiderPlus.md	intermediate · 2 tools
SKIP	tools	netexec	NetExec	Tools/NetExec-Cheatsheet.md	dup of active-directory/netexec.md
SKIP	tools	netexec-nxc	Netexec (nxc)	Tools/Netexec (nxc) Cheat Sheet.md	dup of active-directory/netexec.md
SKIP	tools	nuclei	Nuclei	Tools/Nuclei-Cheatsheet.md	dup of enumeration/nuclei.md
SKIP				Tools/Powershell.md	semantic dup of existing sheet
SKIP	tools	rubeus	Rubeus	Tools/Rubeus-Cheatsheet.md	dup of active-directory/rubeus.md
ADD	tools	tar	TAR	Tools/TAR.md	intermediate · 2 tools
SKIP	tools	tshark	Tshark	Tools/Tshark.md	dup of dfir/tshark.md
ADD	tools	username-anarchy	Username Anarchy	Tools/Username Anarchy.md	intermediate · 0 tools
ADD	tools	dd-tool	dd tool	Tools/dd tool.md	intermediate · 0 tools
SKIP	tools	fscan	fscan	Tools/fscan.md	dup of tools/fscan.md
SKIP	tools	gobuster	gobuster	Tools/gobuster.md	dup of enumeration/gobuster.md
SKIP	tools	meterpreter	meterpreter	Tools/meterpreter.md	dup of exploitation/metasploit.md
ADD	tools	pcap-credential-extraction	pcap-credential-extraction	Tools/pcap-credential-extraction-cheatsheet.md	intermediate · 3 tools
ADD	tools	smbserver-py	smbserver.py	Tools/smbserver.py.md	intermediate · 3 tools
ADD	tools	webfuzz	webfuzz	Tools/webfuzz.md	intermediate · 2 tools
ADD	web	blind-xss-tool-interactsh	Blind XSS Tool - Interactsh	Web/Blind XSS Tool - Interactsh.md	intermediate · 0 tools
ADD	web	blind-xss-tool-xss-hunter	Blind XSS Tool - XSS Hunter	Web/Blind XSS Tool - XSS Hunter.md	intermediate · 0 tools
ADD	web	blind-xss-tool-ezxss	Blind XSS Tool - ezXSS	Web/Blind XSS Tool - ezXSS.md	intermediate · 0 tools
SKIP				Web/Cross-Site Scripting (XSS) - HTB Cheat Sheet.md	semantic dup of existing sheet
ADD	web	phishing-site-link-identification	Phishing Site & Link Identification	Web/Phishing Site & Link Identification - Cheat Sheet.md	intermediate · 1 tools
ADD	linux-it	macos-terminal-tweaks	macOS Terminal Tweaks	macOS Terminal Tweaks Cheat Sheet.md	intermediate · 1 tools
ADD	linux-it	macos-iso-to-usb	macOS-ISO-to-USB	macOS-ISO-to-USB-Cheatsheet.md	intermediate · 1 tools
SKIP	linux-it	macos-terminal-tweaks	macOS Terminal Tweaks	macOS/macOS Terminal Tweaks Cheat Sheet.md	dup of linux-it/macos-terminal-tweaks.md (new)
